SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,Repetition
June_P_1_S_12_so_R1,June,Palsa,1,S,2012,solid,1
June_P_1_D_12_so_R2,June,Palsa,1,D,2012,solid,2
June_P_1_D_12_so_R1,June,Palsa,1,D,2012,solid,1
June_P_2_S_12_so_R1,June,Palsa,2,S,2012,solid,1
June_P_2_M_12_so_R1,June,Palsa,2,M,2012,solid,1
June_P_2_M_12_so_R2,June,Palsa,2,M,2012,solid,1
June_P_2_D_12_so_R2,June,Palsa,2,D,2012,solid,2
June_P_2_D_12_so_R1,June,Palsa,2,D,2012,solid,1
June_P_3_D_12_so_R1,June,Palsa,3,D,2012,solid,1
June_S_1_S_12_so_R1,June,Bog,1,S,2012,solid,1
June_S_1_M_12_so_R1,June,Bog,1,M,2012,solid,1
June_S_1_D_12_so_R1,June,Bog,1,D,2012,solid,1
June_S_2_S_12_so_R2,June,Bog,2,S,2012,solid,2
June_S_2_S_12_so_R1,June,Bog,2,S,2012,solid,1
June_S_2_M_12_so_R1,June,Bog,2,M,2012,solid,1
June_S_2_D_12_so_R1,June,Bog,2,D,2012,solid,1
June_S_3_S_12_so_R1,June,Bog,3,S,2012,solid,1
June_S_3_M_12_so_R1,June,Bog,3,M,2012,solid,1
June_S_3_D_12_so_R1,June,Bog,3,D,2012,solid,1
July_E_1_M_12_pw_R2,July,Fen,1,M,2012,porewater,2
July_E_1_M_12_pw_R1,July,Fen,1,M,2012,porewater,1
July_S_1_D_12_pw_R2,July,Bog,1,D,2012,porewater,2
July_S_1_D_12_pw_R1,July,Bog,1,D,2012,porewater,1
Aug_E_3_D_12_pw_R1,August,Fen,3,D,2012,porewater,1
Aug_E_3_M_12_pw_R1,August,Fen,3,M,2012,porewater,1
June_E_1_S_12_so_R1,June,Fen,1,S,2012,solid,1
Aug_E_3_S_12_pw_R2,August,Fen,3,S,2012,porewater,2
Aug_E_3_S_12_pw_R1,August,Fen,3,S,2012,porewater,1
July_S_1_M_11_pw_R2,July,Bog,1,M,2011,porewater,2
July_S_1_M_11_pw_R1,July,Bog,1,M,2011,porewater,1
Aug_S_1_D_12_pw_R2,August,Bog,1,D,2012,porewater,2
Aug_S_1_D_12_pw_R1,August,Bog,1,D,2012,porewater,1
June_S_2_3_S_12_pw_R1,June,Bog,2_3,S,2012,porewater,1
Aug_S_1_M_12_pw_R1,August,Bog,1,M,2012,porewater,1
July_S_3_M_11_pw_R1,July,Bog,3,M,2011,porewater,1
July_S_1_S_12_pw_R2,July,Bog,1,S,2012,porewater,2
July_S_1_S_12_pw_R1,July,Bog,1,S,2012,porewater,1
June_S_1_D_12_pw_R1,June,Bog,1,D,2012,porewater,1
July_S_3_D_11_pw_R1,July,Bog,3,D,2011,porewater,1
June_E_1_D_12_so_R1,June,Fen,1,D,2012,solid,1
June_E_1_2_3_M_12_pw_R1,June,Fen,1_2_3,M,2012,porewater,1
June_E_1_2_3_S_12_pw_R1,June,Fen,1_2_3,S,2012,porewater,1
June_E_1_2_3_D_12_pw_R1,June,Fen,1_2_3,D,2012,porewater,1
July_E_1_S_11_pw_R1,July,Fen,1,S,2011,porewater,1
July_E_1_M_11_pw_R1,July,Fen,1,M,2011,porewater,1
July_E_1_D_11_pw_R2,July,Fen,1,D,2011,porewater,2
July_E_1_D_11_pw_R1,July,Fen,1,D,2011,porewater,1
July_E_3_S_11_pw_R1,July,Fen,3,S,2011,porewater,1
June_E_2_S_12_so_R2,June,Fen,2,S,2012,solid,2
June_E_2_S_12_so_R1,June,Fen,2,S,2012,solid,1
June_E_2_M_12_so_R2,June,Fen,2,M,2012,solid,2
June_E_2_M_12_so_R1,June,Fen,2,M,2012,solid,1
June_E_2_D_12_so_R1,June,Fen,2,D,2012,solid,1
June_E_3_S_12_so_R1,June,Fen,3,S,2012,solid,1
June_E_3_M_12_so_R1,June,Fen,3,M,2012,solid,1
June_E_3_D_12_so_R2,June,Fen,3,D,2012,solid,2
June_E_3_D_12_so_R1,June,Fen,3,D,2012,solid,1
July_P_1_S_12_so_R1,July,Palsa,1,S,2012,solid,1
July_P_1_M_12_so_R1,July,Palsa,1,M,2012,solid,1
July_P_1_D_12_so_R1,July,Palsa,1,D,2012,solid,1
July_P_2_S_12_so_R2,July,Palsa,2,S,2012,solid,2
July_P_2_S_12_so_R1,July,Palsa,2,S,2012,solid,1
July_P_2_M_12_so_R1,July,Palsa,2,M,2012,solid,1
July_P_2_D_12_so_R1,July,Palsa,2,D,2012,solid,1
July_P_3_S_12_so_R1,July,Palsa,3,S,2012,solid,1
July_P_3_M_12_so_R2,July,Palsa,3,M,2012,solid,2
July_P_3_M_12_so_R1,July,Palsa,3,M,2012,solid,1
July_S_1_S_12_so_R1,July,Bog,1,S,2012,solid,1
July_S_1_M_12_so_R1,July,Bog,1,M,2012,solid,1
July_S_1_D_12_so_R1,July,Bog,1,D,2012,solid,1
July_S_2_S_12_so_R1,July,Bog,2,S,2012,solid,1
July_S_2_M_12_so_R2,July,Bog,2,M,2012,solid,2
July_S_2_M_12_so_R1,July,Bog,2,M,2012,solid,1
July_S_2_D_12_so_R1,July,Bog,2,D,2012,solid,1
July_S_3_S_12_so_R1,July,Bog,3,S,2012,solid,1
July_S_3_M_12_so_R1,July,Bog,3,M,2012,solid,1
July_E_1_S_12_so_R1,July,Fen,1,S,2012,solid,1
July_E_1_M_12_so_R2,July,Fen,1,M,2012,solid,2
July_E_1_D_12_so_R2,July,Fen,1,D,2012,solid,2
July_E_1_D_12_so_R1,July,Fen,1,D,2012,solid,1
July_E_2_S_12_so_R1,July,Fen,2,S,2012,solid,1
July_E_2_D_12_so_R1,July,Fen,2,D,2012,solid,1
July_E_3_S_12_so_R1,July,Fen,3,S,2012,solid,1
July_E_3_M_12_so_R1,July,Fen,3,M,2012,solid,1
July_E_3_D_12_so_R1,July,Fen,3,D,2012,solid,1
Aug_P_1_S_12_so_R1,August,Palsa,1,S,2012,solid,1
Aug_P_1_M_12_so_R1,August,Palsa,1,M,2012,solid,1
Aug_P_1_D_12_so_R1,August,Palsa,1,D,2012,solid,1
Aug_P_2_S_12_so_R1,August,Palsa,2,S,2012,solid,1
Aug_P_2_M_12_so_R1,August,Palsa,2,M,2012,solid,1
Aug_P_2_D_12_so_R2,August,Palsa,2,D,2012,solid,2
Aug_P_2_D_12_so_R1,August,Palsa,2,D,2012,solid,1
Aug_P_3_S_12_so_R1,August,Palsa,3,S,2012,solid,1
Aug_P_3_M_12_so_R2,August,Palsa,3,M,2012,solid,2
Aug_P_3_M_12_so_R1,August,Palsa,3,M,2012,solid,1
Aug_S_1_S_12_so_R2,August,Bog,1,S,2012,solid,2
Aug_S_1_S_12_so_R1,August,Bog,1,S,2012,solid,1
Aug_S_1_M_12_so_R1,August,Bog,1,M,2012,solid,1
Aug_S_1_D_12_so_R1,August,Bog,1,D,2012,solid,1
Aug_S_2_M_12_so_R1,August,Bog,2,M,2012,solid,1
Aug_S_2_D_12_so_R2,August,Bog,2,D,2012,solid,2
Aug_S_2_D_12_so_R1,August,Bog,2,D,2012,solid,1
Aug_S_3_S_12_so_R1,August,Bog,3,S,2012,solid,1
Aug_E_1_S_12_so_R1,August,Fen,1,S,2012,solid,1
Aug_E_1_M_12_so_R1,August,Fen,1,M,2012,solid,1
Aug_E_1_D_12_so_R1,August,Fen,1,D,2012,solid,1
Aug_E_2_S_12_so_R1,August,Fen,2,S,2012,solid,1
Aug_E_2_M_12_so_R1,August,Fen,2,M,2012,solid,1
Aug_E_2_D_12_so_R1,August,Fen,2,D,2012,solid,1
Aug_E_3_S_12_so_R1,August,Fen,3,S,2012,solid,1
Aug_E_3_M_12_so_R2,August,Fen,3,M,2012,solid,2
Aug_E_3_M_12_so_R1,August,Fen,3,M,2012,solid,1
